,City,Place
1177771,Mettupalayam,Vanabathrakali Amman Kovil
1177796,Ponda,Goa Fish Museum
1177800,Ponda,Laxmi Narasimha Temple
1177810,Ponda,Gaonkars Nandanvan
1177820,Ponda,Nagesh Water World
1177822,Ponda,Safa Mosque
1177833,Ponda,Namazgah
1177835,Ponda,Sahakari Spice Farm
1177845,Ponda,Rivona Buddhist Caves
1177860,Ponda,Pascoal spice village
1177866,Ponda,Rustic Plantation
1177902,Ponda,Safa Shahouri Masjid
1178508,Ponda,Shri Mahalasa Temple
1178598,Ponda,Shri Naguesh Temple
1178619,Ponda,Sri Chandreshwar Temple
1178632,Ponda,Sri Ramnath Temple
1178650,Ponda,Sri Nagueshi Temple
1178662,Ponda,Sri Devaki Krishna Temple
1178665,Ponda,Shri Shantadurga Temple
1178682,Ponda,Tropical Spice Plantation
1178702,Ponda,Sri Ananta Temple
1179064,Pondicherry,Ananda Ranga Pillai House
1179069,Pondicherry,Anokhi
1179084,Ponda,Vijayadurga Temple
1179087,Pondicherry,Arulmigu Manakula Vinayagar Temple
1180441,Pondicherry,Auro Beach
1180815,Pondicherry,Barathiyar Meseum at Pondicherry
1180825,Pondicherry,Bharati Government Park
1181104,Pondicherry,Chunnambar Boat House
1181722,Pondicherry,Eglise de Notre Dame des Anges
1181792,Pondicherry,Church Of Our Lady Of Good Health
1182046,Pondicherry,French Institute
1182080,Pondicherry,French War Memorial
1182447,Pondicherry,Immaculate Conception Cathedral
1182621,Pondicherry,INTACH Heritage Centre
1182664,Pondicherry,ISKCON Pondicherry
1182676,Pondicherry,Kalinka Art Gallery
1182678,Pondicherry,Kanniga Parameswari Temple
1182680,Pondicherry,Kargil War Memorial
1182754,Pondicherry,Old Lighthouse
1182785,Pondicherry,Ousteri Lake
1182961,Pondicherry,Panchavati Anjaneya
1185067,Pondicherry,Park Monument (Aayi Mandapam)
1185172,Pondicherry,Pondicherry Botanical Gardens
1185232,Pondicherry,Pogoland
1185276,Pondicherry,Police museum Pondicherry
1185465,Pondicherry,Pondicherry Museum
1185545,Pondicherry,Pondicherry Lighthouse
1185631,Pondicherry,Raj Niwas
1185767,Pondicherry,Rock Beach
1186206,Pondicherry,Romain Rolland Library
1186284,Pondicherry,Saint Joan of Arc Statue
1186294,Pondicherry,Roman Emporia Poduca: Arikamedu Archaeological Site
1186318,Pondicherry,Seaside Promenade
1188937,Pondicherry,Serenity Beach Bazaar
1188938,Pondicherry,Serenity Beach
1189570,Pondicherry,Sri Aurobindo Ashram
1190143,Pondicherry,Sri Karaneswara Nataraja Temple
1190146,Pondicherry,Statue of Dupleix
1190156,Pondicherry,SriMa International School of Transformational Yoga
1190203,Pondicherry,Sri Ayyappa Swamy Temple
1190206,Pondicherry,St.Francis of Assisi Church
1190304,Pondicherry,Statue Of Gandhi
1190399,Pondicherry,"Tasmai, a Centre for Art & Culture"
1190406,Pondicherry,Sunday Market
1190423,Pondicherry,The Basilica of the Sacred Heart of Jesus
1190531,Pondicherry,Sri Kokilambika-Sri Kameeswarar Temple
1191196,Pondicherry,The Ganesh Garden
1191231,Pondicherry,Thrill Valley
1191324,Ponnampet,Coorg White Water Rafting
1191354,Ponnani,Bharathapuzha River
1191359,Pondicherry,Veerampattinam Beach
1191367,Pondicherry,"Vedapureeswarar Temple, Puducherry"
1191386,Pondicherry,Yesu En Nesar Church
1191397,Ponnani,Thrikkavu Temple
1191399,Ponnani,Navamukunda Temple
1191401,Ponnani,Biyyam Kayal Backwater
1191410,Poompuhar,Poompuhar Light House
1191414,Poonch,Dehra Gali
1191415,Poonch,Noori Chamb
1191421,Poonch,Swami Budha Amarnath Ji Mandir
1191422,Porbandar,Chowpaty Beach
1191432,Poonch,Surankote Valley
1191435,Porbandar,Arya Kanya Gurukul
1191438,Porbandar,Bharat Mandir
1191467,Porbandar,Bhutnath Mahadev Temple
1191487,Porbandar,Bileshwar Shiva Temple
1191493,Porbandar,Ghumli
1191516,Porbandar,Harsiddhi Mataji Temple
1191554,Porbandar,Huzoor Palace
1191587,Porbandar,Khimeshwar Temple
1191598,Porbandar,Kirti Mandir Temple
1191608,Porbandar,Jadeshwar Temple
1191626,Poompuhar,Pallavaneswarar Temple
